episode_idx,deminf_score,num_score_samples,raw_mean,raw_std,rank,selected
166,0.823212219372588,331,-6.409618645876437,1.3773173561537981,1,True
336,0.8099280794934595,336,-6.425467736664272,1.3298710465070651,2,True
74,0.80990074931321,338,-6.424041291430622,1.4055408666419553,3,True
81,0.8091187775622315,340,-6.426403476677688,1.3813553969355274,4,True
273,0.8004069494526406,340,-6.4393734815073955,1.3927264692821584,5,True
207,0.7941054181754872,341,-6.4449194360921345,1.4318833215304687,6,True
221,0.7792826969155264,340,-6.467940135796865,1.4229713130352013,7,True
189,0.7776309830454387,343,-6.469181225065819,1.3474763458852337,8,True
66,0.7759493336681247,343,-6.464410255902942,1.4419420931604938,9,True
158,0.7657068814763135,343,-6.479834793376273,1.4467017320373496,10,True
121,0.7545516490562237,341,-6.4966248314634685,1.2850585984669325,11,True
233,0.7421764442136309,348,-6.510884779394814,1.2719023539125747,12,True
310,0.7420853954727984,336,-6.5163537798419835,1.2641294168139967,13,True
242,0.7379903447717931,338,-6.5187379820107,1.2610264706874013,14,True
173,0.7379154207613022,338,-6.520909026999915,1.295263163378459,15,True
27,0.7362937258344816,336,-6.521655511761468,1.3031119654284953,16,True
399,0.7307454326045727,319,-6.528401858629727,1.3569531749434924,17,True
345,0.7253850581091403,350,-6.530870203971863,1.2789178134941377,18,True
241,0.7251215932098142,322,-6.537468747075793,1.3170909911020592,19,True
252,0.7226880137049781,322,-6.541614637365005,1.3075680509625824,20,True
312,0.7222118957143494,337,-6.53676609233626,1.2833966023428938,21,True
293,0.716694892907684,338,-6.54704525508354,1.248969290339763,22,True
328,0.7142576170821433,325,-6.546842495844914,1.2812730637142462,23,True
372,0.7120440021883401,325,-6.555704019742134,1.277801184228677,24,True
77,0.709142787893415,334,-6.559804920902748,1.2994621731561145,25,True
101,0.7081733931771267,346,-6.5549136625319315,1.3234489624097778,26,True
130,0.7021070242746283,325,-6.566186645458907,1.2696682900399447,27,True
59,0.6978593524968296,350,-6.565991054716564,1.350967807395032,28,True
38,0.6930438240568745,324,-6.574378131593697,1.2621621466516564,29,True
151,0.6893961316898084,322,-6.577987668677147,1.2312554709847898,30,True
0,0.6880064486656187,326,-6.582276352831678,1.2797731064521836,31,True
125,0.686007884204908,315,-6.58495165103327,1.3063340406799886,32,True
48,0.6855242186021913,346,-6.58022526463562,1.2543800406042427,33,True
316,0.6810896147531286,315,-6.591242275036202,1.4256888566002768,34,True
295,0.6795422616914283,328,-6.590190661389653,1.2378590628082164,35,True
369,0.6752791350533689,326,-6.600703645093796,1.2054654163982363,36,True
347,0.6717649260489099,316,-6.601331334325332,1.2556828065889145,37,True
112,0.668547606586144,319,-6.605851086952345,1.240759581289191,38,True
148,0.668503323557407,324,-6.605197720321608,1.2272872577337648,39,True
191,0.6647940444804281,314,-6.609622114529781,1.351162535905258,40,True
277,0.664084975589388,322,-6.6131941509543,1.196665525842301,41,True
255,0.6630907545383063,335,-6.613657078814151,1.269679992490016,42,True
257,0.660623485506787,349,-6.61433191763979,1.2684734349739881,43,True
60,0.6567301898691,317,-6.618726726586134,1.3163650999684746,44,True
170,0.6547023665760897,348,-6.619617996544673,1.242289347427248,45,True
318,0.6496269989788784,324,-6.633722235391169,1.1998269199284846,46,True
320,0.6410676197020203,321,-6.641419510232326,1.2280243199437095,47,True
227,0.6373256203875548,331,-6.646244849563246,1.327539794183551,48,True
205,0.6368742082312647,312,-6.641311604243058,1.3360804800013533,49,True
65,0.6241239373046581,320,-6.662883757054805,1.2177179622624876,50,True
231,0.6235295136043016,315,-6.661715910926698,1.3549215217965205,51,True
64,0.6205339971151077,318,-6.668156125510514,1.1917665780346172,52,True
73,0.6205300206369588,327,-6.665035654402411,1.236933166225632,53,True
271,0.6174043371911657,348,-6.66729922860975,1.2000894310767196,54,True
175,0.6054248614383273,323,-6.68346593131468,1.1896431414731141,55,True
350,0.59472027565025,339,-6.693372352519453,1.440469192477725,56,True
160,0.5879622901251034,334,-6.707336740579434,1.2305185523519502,57,True
9,0.5816475355748402,334,-6.7136656214853,1.1683310249256917,58,True
330,0.518522064906415,347,-6.791620312918847,1.1933376364757982,59,True
145,0.5020414921436014,403,-6.808979428632877,1.4191758279699849,60,True
15,0.5019189792668308,294,-6.813017869482235,1.316789337654767,61,True
202,0.49592845587828516,399,-6.82001751248002,1.5876585138411194,62,True
329,0.49456749135693284,365,-6.834089401105767,1.4761002728682293,63,True
354,0.4858708887587402,371,-6.835116786562636,1.4003955173818412,64,True
235,0.483238463214625,395,-6.8304184845228235,1.6314477166198356,65,True
196,0.47470556286463783,383,-6.84609780423635,1.4419642049632948,66,True
201,0.46480306994959397,399,-6.854645438660357,1.381940860083484,67,True
232,0.4625115042452098,293,-6.861198649064673,1.2989537572718017,68,True
99,0.45928748411508297,408,-6.862035373457117,1.4636023988949787,69,True
265,0.45891398941796263,372,-6.869795892828254,1.4174528135243,70,True
291,0.4548699090289277,377,-6.874729912856529,1.3454365496772607,71,True
378,0.4516234851395885,375,-6.880982695685492,1.4683354978101817,72,True
306,0.4498953529338734,403,-6.874966593396081,1.4038861375373453,73,True
348,0.4406691926571749,295,-6.888367948693745,1.212288254709616,74,True
50,0.4264313907860804,281,-6.90728823202502,1.2351493630322574,75,True
249,0.4207081009193853,411,-6.918472568677483,1.3864114744475267,76,True
351,0.4113267927082109,291,-6.923862206567194,1.2283360050521805,77,True
360,0.39636655168050916,342,-6.942139334613584,1.0938240177079395,78,True
321,0.37888434692933004,350,-6.977332218260993,1.3968927596280492,79,True
303,0.3683428920113936,290,-6.97824433918657,1.181630729501695,80,True
208,0.36595974979087753,427,-6.977347092922547,1.3034681178569674,81,True
186,0.34999166286437644,414,-7.000210109924156,1.6549082407419646,82,True
134,0.3377489501289765,378,-7.02141272874526,1.53387403376564,83,True
18,0.33291977836702935,434,-7.020712733268738,1.3614687534515424,84,True
276,0.32017271669700814,461,-7.031468732582859,1.4351410408582659,85,True
25,0.3166882178580107,382,-7.050998264374325,1.445325519516441,86,True
133,0.31646844255760403,403,-7.046313667218482,1.5045007584694914,87,True
104,0.31299334499663106,285,-7.045651223366721,1.09112521555937,88,True
129,0.30901409360108106,348,-7.049097723431057,1.402528351803419,89,True
342,0.30573543106296713,470,-7.052060830508564,1.382510840050687,90,True
343,0.2997273366063575,399,-7.061737484601307,1.2325895869179726,91,True
157,0.2964493731787622,428,-7.064959129997503,1.307759290663092,92,True
14,0.2861095211852444,298,-7.077614352207056,1.0598780268878858,93,True
384,0.2829465060982622,458,-7.079521873632372,1.4375094625875906,94,True
108,0.27810499163497493,452,-7.089555240310399,1.4232975154238154,95,True
8,0.2644643042309638,451,-7.106613079001969,1.3701296350221137,96,True
107,0.2505464815049436,491,-7.120989175532355,1.4191421908002047,97,True
103,0.23694780823037387,466,-7.13943821336749,1.3062511589919708,98,True
392,0.2361398667601398,281,-7.139728383803,1.1238163663626282,99,True
