episode_id,deminf_score,num_timestep_samples,raw_score_mean,normalized_score_mean,rank
166,0.823212219372588,331,-6.409618645876437,0.823212219372588,1
336,0.8099280794934595,336,-6.425467736664272,0.8099280794934595,2
74,0.80990074931321,338,-6.424041291430622,0.80990074931321,3
81,0.8091187775622315,340,-6.426403476677688,0.8091187775622315,4
273,0.8004069494526406,340,-6.4393734815073955,0.8004069494526406,5
207,0.7941054181754872,341,-6.4449194360921345,0.7941054181754872,6
221,0.7792826969155264,340,-6.467940135796865,0.7792826969155264,7
189,0.7776309830454387,343,-6.469181225065819,0.7776309830454387,8
66,0.7759493336681247,343,-6.464410255902942,0.7759493336681247,9
158,0.7657068814763135,343,-6.479834793376273,0.7657068814763135,10
121,0.7545516490562237,341,-6.4966248314634685,0.7545516490562237,11
233,0.7421764442136309,348,-6.510884779394814,0.7421764442136309,12
310,0.7420853954727984,336,-6.5163537798419835,0.7420853954727984,13
242,0.7379903447717931,338,-6.5187379820107,0.7379903447717931,14
173,0.7379154207613022,338,-6.520909026999915,0.7379154207613022,15
27,0.7362937258344816,336,-6.521655511761468,0.7362937258344816,16
399,0.7307454326045727,319,-6.528401858629727,0.7307454326045727,17
345,0.7253850581091403,350,-6.530870203971863,0.7253850581091403,18
241,0.7251215932098142,322,-6.537468747075793,0.7251215932098142,19
252,0.7226880137049781,322,-6.541614637365005,0.7226880137049781,20
312,0.7222118957143494,337,-6.53676609233626,0.7222118957143494,21
293,0.716694892907684,338,-6.54704525508354,0.716694892907684,22
328,0.7142576170821433,325,-6.546842495844914,0.7142576170821433,23
372,0.7120440021883401,325,-6.555704019742134,0.7120440021883401,24
77,0.709142787893415,334,-6.559804920902748,0.709142787893415,25
101,0.7081733931771267,346,-6.5549136625319315,0.7081733931771267,26
130,0.7021070242746283,325,-6.566186645458907,0.7021070242746283,27
59,0.6978593524968296,350,-6.565991054716564,0.6978593524968296,28
38,0.6930438240568745,324,-6.574378131593697,0.6930438240568745,29
151,0.6893961316898084,322,-6.577987668677147,0.6893961316898084,30
0,0.6880064486656187,326,-6.582276352831678,0.6880064486656187,31
125,0.686007884204908,315,-6.58495165103327,0.686007884204908,32
48,0.6855242186021913,346,-6.58022526463562,0.6855242186021913,33
316,0.6810896147531286,315,-6.591242275036202,0.6810896147531286,34
295,0.6795422616914283,328,-6.590190661389653,0.6795422616914283,35
369,0.6752791350533689,326,-6.600703645093796,0.6752791350533689,36
347,0.6717649260489099,316,-6.601331334325332,0.6717649260489099,37
112,0.668547606586144,319,-6.605851086952345,0.668547606586144,38
148,0.668503323557407,324,-6.605197720321608,0.668503323557407,39
191,0.6647940444804281,314,-6.609622114529781,0.6647940444804281,40
277,0.664084975589388,322,-6.6131941509543,0.664084975589388,41
255,0.6630907545383063,335,-6.613657078814151,0.6630907545383063,42
257,0.660623485506787,349,-6.61433191763979,0.660623485506787,43
60,0.6567301898691,317,-6.618726726586134,0.6567301898691,44
170,0.6547023665760897,348,-6.619617996544673,0.6547023665760897,45
318,0.6496269989788784,324,-6.633722235391169,0.6496269989788784,46
320,0.6410676197020203,321,-6.641419510232326,0.6410676197020203,47
227,0.6373256203875548,331,-6.646244849563246,0.6373256203875548,48
205,0.6368742082312647,312,-6.641311604243058,0.6368742082312647,49
65,0.6241239373046581,320,-6.662883757054805,0.6241239373046581,50
231,0.6235295136043016,315,-6.661715910926698,0.6235295136043016,51
64,0.6205339971151077,318,-6.668156125510514,0.6205339971151077,52
73,0.6205300206369588,327,-6.665035654402411,0.6205300206369588,53
271,0.6174043371911657,348,-6.66729922860975,0.6174043371911657,54
175,0.6054248614383273,323,-6.68346593131468,0.6054248614383273,55
350,0.59472027565025,339,-6.693372352519453,0.59472027565025,56
160,0.5879622901251034,334,-6.707336740579434,0.5879622901251034,57
9,0.5816475355748402,334,-6.7136656214853,0.5816475355748402,58
330,0.518522064906415,347,-6.791620312918847,0.518522064906415,59
145,0.5020414921436014,403,-6.808979428632877,0.5020414921436014,60
15,0.5019189792668308,294,-6.813017869482235,0.5019189792668308,61
202,0.49592845587828516,399,-6.82001751248002,0.49592845587828516,62
329,0.49456749135693284,365,-6.834089401105767,0.49456749135693284,63
354,0.4858708887587402,371,-6.835116786562636,0.4858708887587402,64
235,0.483238463214625,395,-6.8304184845228235,0.483238463214625,65
196,0.47470556286463783,383,-6.84609780423635,0.47470556286463783,66
201,0.46480306994959397,399,-6.854645438660357,0.46480306994959397,67
232,0.4625115042452098,293,-6.861198649064673,0.4625115042452098,68
99,0.45928748411508297,408,-6.862035373457117,0.45928748411508297,69
265,0.45891398941796263,372,-6.869795892828254,0.45891398941796263,70
291,0.4548699090289277,377,-6.874729912856529,0.4548699090289277,71
378,0.4516234851395885,375,-6.880982695685492,0.4516234851395885,72
306,0.4498953529338734,403,-6.874966593396081,0.4498953529338734,73
348,0.4406691926571749,295,-6.888367948693745,0.4406691926571749,74
50,0.4264313907860804,281,-6.90728823202502,0.4264313907860804,75
249,0.4207081009193853,411,-6.918472568677483,0.4207081009193853,76
351,0.4113267927082109,291,-6.923862206567194,0.4113267927082109,77
360,0.39636655168050916,342,-6.942139334613584,0.39636655168050916,78
321,0.37888434692933004,350,-6.977332218260993,0.37888434692933004,79
303,0.3683428920113936,290,-6.97824433918657,0.3683428920113936,80
208,0.36595974979087753,427,-6.977347092922547,0.36595974979087753,81
186,0.34999166286437644,414,-7.000210109924156,0.34999166286437644,82
134,0.3377489501289765,378,-7.02141272874526,0.3377489501289765,83
18,0.33291977836702935,434,-7.020712733268738,0.33291977836702935,84
276,0.32017271669700814,461,-7.031468732582859,0.32017271669700814,85
25,0.3166882178580107,382,-7.050998264374325,0.3166882178580107,86
133,0.31646844255760403,403,-7.046313667218482,0.31646844255760403,87
104,0.31299334499663106,285,-7.045651223366721,0.31299334499663106,88
129,0.30901409360108106,348,-7.049097723431057,0.30901409360108106,89
342,0.30573543106296713,470,-7.052060830508564,0.30573543106296713,90
343,0.2997273366063575,399,-7.061737484601307,0.2997273366063575,91
157,0.2964493731787622,428,-7.064959129997503,0.2964493731787622,92
14,0.2861095211852444,298,-7.077614352207056,0.2861095211852444,93
384,0.2829465060982622,458,-7.079521873632372,0.2829465060982622,94
108,0.27810499163497493,452,-7.089555240310399,0.27810499163497493,95
