camera,model_a,model_b,denoise_index,timestep,v_t_l2,v_t_cosine,x_t_l2,hidden_cosine
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,0,1.0,5.6061811447143555,0.9703488945960999,0.0,0.9704573750495911
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,1,0.8999999761581421,5.458851337432861,0.971487283706665,0.560617983341217,0.9692777991294861
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,2,0.800000011920929,5.5251054763793945,0.9708953499794006,1.1032800674438477,0.9678477048873901
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,3,0.699999988079071,5.481278419494629,0.9709386825561523,1.6491453647613525,0.9662284255027771
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,4,0.6000000238418579,5.448596954345703,0.9712786674499512,2.1859371662139893,0.9635895490646362
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,5,0.5,5.565262794494629,0.9706965088844299,2.7132585048675537,0.9603103995323181
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,6,0.4000000059604645,5.720254421234131,0.9694318771362305,3.2468671798706055,0.9560831785202026
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,7,0.30000001192092896,6.140172481536865,0.9654889702796936,3.7740960121154785,0.9505772590637207
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,8,0.20000000298023224,6.969207286834717,0.9584265947341919,4.30230712890625,0.943359375
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,9,0.10000000149011612,8.410390853881836,0.9482166171073914,4.814562797546387,0.9348809719085693
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,0,1.0,7.336410045623779,0.9502407312393188,0.0,0.9477793574333191
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,1,0.8999999761581421,7.450807094573975,0.9480230212211609,0.7336409687995911,0.9462827444076538
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,2,0.800000011920929,7.82133150100708,0.9434939026832581,1.4758580923080444,0.9430910348892212
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,3,0.699999988079071,8.165566444396973,0.9388286471366882,2.252249240875244,0.939604640007019
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,4,0.6000000238418579,8.438238143920898,0.9359704852104187,3.0605697631835938,0.9356073141098022
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,5,0.5,9.038487434387207,0.9274128675460815,3.88708233833313,0.929070770740509
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,6,0.4000000059604645,9.59891128540039,0.9201040267944336,4.764702320098877,0.9204812049865723
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,7,0.30000001192092896,10.019332885742188,0.9155147671699524,5.674854755401611,0.9093507528305054
