episode_idx,deminf_score,num_score_samples,raw_mean,raw_std,rank,selected
158,0.8171564465787584,257,-6.655600618914098,1.2581131807837982,1,True
8,0.8112059659021078,254,-6.689380241504178,1.1754360235170465,2,True
120,0.7816998522363068,215,-6.696726820080779,1.294550864772379,3,True
110,0.7634538068525503,231,-6.703270590838589,1.207424050300247,4,True
275,0.757076309941918,243,-6.69110777054304,1.3367974646194216,5,True
331,0.7558143274121721,249,-6.606089645919391,1.5257511975790923,6,True
318,0.7207350003386063,217,-6.704615990320842,1.3274804357848005,7,True
222,0.7085149240556883,220,-6.76324871597868,1.2518026830955715,8,True
103,0.68196332297695,254,-6.7954383497163064,1.2232938158665019,9,True
118,0.6629971638260176,236,-6.81094103479116,1.121970964491429,10,True
161,0.6402355955695925,222,-6.832818034890893,1.1854008175123492,11,True
54,0.6398682658557584,227,-6.815285212492977,1.1892845749726129,12,True
371,0.6366128220297018,242,-6.842413973217168,1.0452547923515165,13,True
353,0.6333142458871133,226,-6.840599335048755,1.1049419390538284,14,True
278,0.6153170583219822,244,-6.863479749101107,1.126491883886523,15,True
128,0.6123896043553864,218,-6.853131485276996,1.1590271210503937,16,True
381,0.6094173057390595,220,-6.84753163727847,1.1227298606279528,17,True
174,0.6090484067363643,226,-6.8449782340575815,1.2848779884900816,18,True
20,0.595718723829885,232,-6.820879411423343,1.4122294333602574,19,True
82,0.5534156546728458,235,-6.907585363861517,1.1742479040383649,20,True
233,0.5425308161642384,225,-6.912357183385778,1.1039553984485484,21,True
13,0.5411652048396967,222,-6.914766547916172,1.205442431796045,22,True
134,0.5388020382847992,215,-6.923767766287161,1.1550387719712942,23,True
358,0.536743995480399,219,-6.878851982737967,1.411348962131093,24,True
329,0.5307743581889652,243,-6.93234619616808,1.1372458719725738,25,True
385,0.5296806265578087,242,-6.934893105640884,1.0007371685809092,26,True
75,0.5245562567136387,240,-6.938248215119044,1.0328558905879346,27,True
123,0.5074263800073728,232,-6.953512668609619,1.0877650112332373,28,True
154,0.5051021450150552,238,-6.9565702853750455,1.0157597769877231,29,True
66,0.49963538422886344,243,-6.962982145683592,1.0794366019257728,30,True
97,0.4993971819338914,220,-6.94841682621927,1.2052301852515457,31,True
375,0.4957334537926016,235,-6.9652056998394904,1.0368514161783269,32,True
223,0.4944293983579626,257,-6.965845571881602,1.139884462690443,33,True
197,0.4939371662469974,240,-6.966141579548518,0.9143930959384052,34,True
28,0.489340500092979,262,-6.944495639121563,1.3761835354362892,35,True
309,0.4887947599751946,233,-6.9596445018129796,1.1989865906598045,36,True
306,0.4874705242805179,231,-6.965701129357364,1.1680727182552608,37,True
116,0.48651459701299765,255,-6.964674419826931,1.2338153720508835,38,True
221,0.47357097436452417,217,-6.981556905579457,1.1126198675519459,39,True
242,0.4679307817603497,250,-6.976489035288493,1.2385238792379483,40,True
374,0.45698382596985815,243,-6.997004359837913,0.9377495820083411,41,True
393,0.4534439130902905,222,-6.9960446150095255,1.0696460325899466,42,True
