model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
zero_corner_12k,zero,"corner,gripperPOV",10043,32.0,95.0,1,0.8999999761581421,3,expert_cross,50,177,50,0.28996366262435913,0.21675971150398254,0.5067233741283417,0.15575776994228363,0.3375188708305359,0.0,0.0,38.149349212646484,21.22369384765625,189.736083984375
zero_corner_12k,zero,"corner,gripperPOV",10043,32.0,95.0,1,0.8999999761581421,7,expert_cross,50,177,50,0.2647372782230377,0.2976667284965515,0.5624040067195892,0.20746658742427826,0.2301294356584549,0.0,0.0,38.149349212646484,21.22369384765625,189.736083984375
zero_corner_12k,zero,"corner,gripperPOV",10043,32.0,95.0,1,0.8999999761581421,11,expert_cross,50,177,50,0.258280485868454,0.23660050332546234,0.4948809891939163,0.43320903182029724,0.07190997153520584,0.0,7.450580596923828e-09,38.149349212646484,21.22369384765625,189.736083984375
zero_corner_12k,zero,"corner,gripperPOV",10043,32.0,95.0,2,0.800000011920929,3,expert_cross,50,177,50,0.28882384300231934,0.21645671129226685,0.5052805542945862,0.15712636709213257,0.33759310841560364,0.0,0.0,37.54010009765625,21.279407501220703,189.73521423339844
zero_corner_12k,zero,"corner,gripperPOV",10043,32.0,95.0,2,0.800000011920929,7,expert_cross,50,177,50,0.26396021246910095,0.29579317569732666,0.5597533881664276,0.20951421558856964,0.23073242604732513,0.0,0.0,37.54010009765625,21.279407501220703,189.73521423339844
zero_corner_12k,zero,"corner,gripperPOV",10043,32.0,95.0,2,0.800000011920929,11,expert_cross,50,177,50,0.2576726973056793,0.23791995644569397,0.4955926537513733,0.432688444852829,0.07171895354986191,0.0,0.0,37.54010009765625,21.279407501220703,189.73521423339844
zero_corner_12k,zero,"corner,gripperPOV",10043,32.0,95.0,3,0.699999988079071,3,expert_cross,50,177,50,0.28690317273139954,0.21656815707683563,0.5034713298082352,0.1594090312719345,0.3371196687221527,0.0,0.0,37.01129913330078,21.53119659423828,189.73825073242188
zero_corner_12k,zero,"corner,gripperPOV",10043,32.0,95.0,3,0.699999988079071,7,expert_cross,50,177,50,0.264972060918808,0.2936999499797821,0.5586720108985901,0.21144519746303558,0.22988274693489075,0.0,4.470348358154297e-08,37.01129913330078,21.53119659423828,189.73825073242188
zero_corner_12k,zero,"corner,gripperPOV",10043,32.0,95.0,3,0.699999988079071,11,expert_cross,50,177,50,0.2549636662006378,0.23777718842029572,0.49274085462093353,0.43595951795578003,0.07129961252212524,0.0,1.4901161193847656e-08,37.01129913330078,21.53119659423828,189.73825073242188
zero_corner_12k,zero,"corner,gripperPOV",10043,32.0,95.0,4,0.6000000238418579,3,expert_cross,50,177,50,0.2867112159729004,0.21709796786308289,0.5038091838359833,0.16062338650226593,0.3355674147605896,0.0,1.4901161193847656e-08,36.558589935302734,21.791109085083008,189.74078369140625
