model_name,method,phase,layer,attention_source,count,camera1_mass_mean,camera1_mass_std,camera2_mass_mean,camera2_mass_std,visual_total_mean,visual_total_std,language_mass_mean,language_mass_std,state_mass_mean,state_mass_std
ours_v1_corner_12k,ours_v1,initial,3,expert_cross,6,0.3478988806406657,0.011749253251669629,0.33114827672640484,0.012871016277579887,0.6790471573670706,0.0021884751329856737,0.17061086495717367,0.0011060952833232846,0.15034196277459463,0.0014768429065927541
ours_v1_corner_12k,ours_v1,initial,7,expert_cross,6,0.371664360165596,0.006682480129344205,0.3387681394815445,0.010489892160091477,0.7104324996471405,0.007992894343213828,0.24033273259798685,0.007093547992962631,0.04923475347459316,0.0019271771601809193
ours_v1_corner_12k,ours_v1,initial,11,expert_cross,6,0.3867512394984563,0.005184675274722199,0.4172828594843547,0.005492923480190315,0.804034098982811,0.007873547372944675,0.16668730974197388,0.005577106193094723,0.029278584755957127,0.0024143130631368594
ours_v2_corner_12k,ours_v2,initial,3,expert_cross,6,0.3383837987979253,0.012456375221432794,0.32742880284786224,0.009794354805982397,0.6658126016457876,0.0031067467937624564,0.17862811187903085,0.0027623636229759615,0.15555929640928903,0.0004701964784552774
ours_v2_corner_12k,ours_v2,initial,7,expert_cross,6,0.3554339756568273,0.006984373802233516,0.33329257865746814,0.0097841409052168,0.6887265543142954,0.005672634806337605,0.2562810058395068,0.004502790557811096,0.05499242370327314,0.001985235143544309
ours_v2_corner_12k,ours_v2,initial,11,expert_cross,6,0.38789997001489,0.003870646013032245,0.4221283843119939,0.005161626459411124,0.8100283543268839,0.004426612521963433,0.16747486839691797,0.0033838545559966575,0.02249677199870348,0.001127941598282853
ours_v3_corner_12k,ours_v3,initial,3,expert_cross,6,0.3376472940047582,0.011333244352971901,0.32768500844637555,0.010447044921748097,0.6653323024511337,0.0019423690054339523,0.18470299988985062,0.0014980567953070821,0.1499647224942843,0.0011199334950284618
ours_v3_corner_12k,ours_v3,initial,7,expert_cross,6,0.35985127091407776,0.005598599033165591,0.31675606469313305,0.008737145491564067,0.6766073356072108,0.007929341243950123,0.24502788235743841,0.005917016440937803,0.0783647894859314,0.0029753865179517995
ours_v3_corner_12k,ours_v3,initial,11,expert_cross,6,0.43203416963418323,0.003608319910641774,0.4185111274321874,0.004790704922433618,0.8505452970663706,0.003452649895206681,0.13054925948381424,0.002615790917383831,0.01890542854865392,0.0009464853990206483
ours_v4_corner_12k,ours_v4,initial,3,expert_cross,6,0.3324967920780182,0.008834224770973393,0.30190809567769367,0.007793517274788036,0.6344048877557119,0.00153218456358552,0.20179415990908942,0.0015324137483568503,0.16380094985167185,0.0009158995419661154
ours_v4_corner_12k,ours_v4,initial,7,expert_cross,6,0.3432573328415553,0.005564426797263391,0.30271969238917035,0.006927419524114061,0.6459770252307256,0.007968277372356909,0.25222688913345337,0.006434462761464315,0.10179609556992848,0.002628854358505942
ours_v4_corner_12k,ours_v4,initial,11,expert_cross,6,0.4213077276945114,0.004461760673889407,0.4068213452895482,0.004822577628450905,0.8281290729840597,0.0036331758101725213,0.15017525851726532,0.0027687390402185924,0.021695651734868687,0.0010374037039285837
random_corner_12k,random,initial,3,expert_cross,6,0.35139525930086773,0.011610876930733028,0.3225131332874298,0.010714864092726574,0.6739083925882975,0.0013238631357868696,0.17231419682502747,0.001956914977272794,0.15377744287252426,0.0009839984108736288
random_corner_12k,random,initial,7,expert_cross,6,0.3350630501906077,0.007276450494553433,0.31965574125448865,0.007891189553653354,0.6547187914450964,0.007689375673877977,0.2501133407155673,0.006088347221335811,0.09516787032286327,0.0033224002420040844
random_corner_12k,random,initial,11,expert_cross,6,0.41899749139944714,0.003917773599383357,0.4269496599833171,0.002826860508922589,0.8459471513827642,0.0037955048853493367,0.13596084962288538,0.0032080693180133136,0.018091975711286068,0.0008670284658216784
uniform_corner_12k,uniform,initial,3,expert_cross,6,0.36160477499167126,0.011175287346193654,0.3287193675835927,0.010308115935872116,0.690324142575264,0.0022349537322656717,0.16759337733189264,0.002959257312801528,0.1420824577411016,0.0013368439011633801
uniform_corner_12k,uniform,initial,7,expert_cross,6,0.3429145912329356,0.005690740651359765,0.3038136164347331,0.009922713702194936,0.6467282076676687,0.009324986597097674,0.25694650659958523,0.007743563530675277,0.09632529442509015,0.005514213274178641
uniform_corner_12k,uniform,initial,11,expert_cross,6,0.4141858418782552,0.0032597862351813533,0.4217940767606099,0.002671068407416647,0.8359799186388651,0.0035244906773219224,0.1420842483639717,0.0031936441322401583,0.021935842620829742,0.0008287318352100504
zero_corner_12k,zero,initial,3,expert_cross,6,0.3263056476910909,0.014375880312123774,0.3036792774995168,0.011905977537099544,0.6299849251906077,0.003366201232797941,0.19324922064940134,0.0033175959837636,0.17676583429177603,0.000850262693178403
zero_corner_12k,zero,initial,7,expert_cross,6,0.34272390107313794,0.00228703537940681,0.31038926045099896,0.005918852581933197,0.6531131615241369,0.006388263872453738,0.25147464126348495,0.005213835776687916,0.09541218479474385,0.0023383712277166057
zero_corner_12k,zero,initial,11,expert_cross,6,0.41237398485342663,0.0018186478203691045,0.4237540562947591,0.003503155270234843,0.8361280411481857,0.0025380903243039225,0.14516699314117432,0.0018201397333833889,0.01870496105402708,0.0007506769850846414
