model_name,num_seeds,v_t_norm_mean_of_means,v_t_norm_std_of_means,v_t_norm_mean_of_stds,v_t_norm_std_of_stds
ours_v1_corner_12k,10,23.08798797607422,0.6146524834143117,1.505379172131661,0.26621816704397183
ours_v2_corner_12k,10,22.216854076385495,0.681901504147141,1.7770936293736703,0.27926409911378597
ours_v3_corner_12k,10,24.024784336090086,0.7410055526230275,2.6673056415512844,0.36852547947817554
ours_v4_corner_12k,10,24.976729183197023,0.6782205647600659,2.3702419593224517,0.2950287966759743
random_corner_12k,10,22.947625656127933,0.6917094458815283,1.824935896214381,0.3532091278260636
uniform_corner_12k,10,22.58324695587158,0.6363359163385929,1.8828418517061454,0.25082477229511874
zero_corner_12k,10,23.825693626403808,0.5458359925566433,2.314079472339553,0.36335614960395723
