model_name,method,phase,layer,attention_source,camera,count,max_attention_mean,max_attention_std,mean_attention_mean,mean_attention_std,std_attention_mean,std_attention_std,center_x_mean,center_x_std,center_y_mean,center_y_std,entropy_mean,entropy_std
ours_v1_corner_12k,ours_v1,inference_trace,3,expert_cross,"corner,gripperPOV",60,0.9999997705221176,7.525701112158565e-08,0.09484405722469091,0.03988722793433472,0.18621184378862382,0.030611295530577266,3.4572467643240743,0.2843747664136392,3.8397740450878244,0.7115189681058108,2.9146605571111044,0.32193350670229437
ours_v1_corner_12k,ours_v1,inference_trace,7,expert_cross,"corner,gripperPOV",60,0.9999998122453689,8.417067894744978e-08,0.0826068219418327,0.021624746542639246,0.17916380638877552,0.017532517677315927,3.50328701922206,0.8295350655302325,3.4254457893630472,0.1841969546957732,2.9468488891919455,0.2579934651961934
ours_v1_corner_12k,ours_v1,inference_trace,11,expert_cross,"corner,gripperPOV",60,0.9999993612368901,1.9890802180404255e-07,0.16630409099161625,0.037906101319116106,0.19162381862600644,0.019262224964092106,3.531841159733373,0.15823333710206944,3.54427247898498,0.3090142914247138,3.6342363993326825,0.12407391165401374
ours_v1_corner_12k,ours_v1,initial,3,expert_cross,observation.images.camera1,7,0.01918872951396874,0.002358353816605163,0.005432212592235633,0.00017020636423792154,0.00411171858598079,0.00017019994733119,3.276610204051914,0.05309690059925949,4.262874595421765,0.07690767690540917,3.902846268245152,0.016949512815494557
ours_v1_corner_12k,ours_v1,initial,3,expert_cross,observation.images.camera2,7,0.03445975721946785,0.00594056114594093,0.005180548477385726,0.00018684137541329375,0.0053700170080576625,0.000705835178139023,3.526931358368269,0.04254522985199532,3.217637720318245,0.11253837454178325,3.822984218597412,0.055561205907089954
ours_v1_corner_12k,ours_v1,initial,7,expert_cross,observation.images.camera1,7,0.025338223736201013,0.0025286019237761464,0.005813642138881343,9.792571971005176e-05,0.00336094995561455,0.00024752953434764254,3.219254579461579,0.026343202087416685,3.6108243921771646,0.03289199241161051,4.039933000292097,0.012755030472410642
ours_v1_corner_12k,ours_v1,initial,7,expert_cross,observation.images.camera2,7,0.011424998619726725,0.0004292164306927827,0.005303090770861932,0.00015364780568040233,0.0019927323862378088,0.0001314534574781136,3.795152881049684,0.031910201683908776,3.514914891216904,0.042303987389953605,4.093847819737026,0.007405614233205288
ours_v1_corner_12k,ours_v1,initial,11,expert_cross,observation.images.camera1,7,0.009138362482190132,0.00015687496478707306,0.0060473002626427585,7.574147458832362e-05,0.0008404684070098613,2.1184079048894318e-05,3.5457870779292926,0.012292318977976547,3.4494749241109406,0.009716400855401843,4.149676663534982,0.0006365600129521517
ours_v1_corner_12k,ours_v1,initial,11,expert_cross,observation.images.camera2,7,0.010836781135627202,0.00014002670197918771,0.0065214102422552446,7.953075167749281e-05,0.0010079844422372325,3.920679480654703e-05,3.5039111961211478,0.010119833932256087,3.5052915528150543,0.01814077521356429,4.147564956120083,0.0009642684718391474
ours_v2_corner_12k,ours_v2,inference_trace,3,expert_cross,"corner,gripperPOV",60,0.9999998251597086,5.846794036850199e-08,0.07416159119457007,0.015294543933290305,0.16793812761704127,0.012055514470650815,3.1220504147532817,0.3816695273963156,3.820842637573321,0.3217391770255868,2.8219223419825235,0.31814857667771235
ours_v2_corner_12k,ours_v2,inference_trace,7,expert_cross,"corner,gripperPOV",60,0.999999862909317,6.184729900468738e-08,0.06650198722879092,0.01522371430629059,0.17180425797899565,0.022559165779912935,3.2937583791101996,0.6288904637200665,3.3396141977679648,0.18162020415825192,2.7069589932759603,0.2724897067337939
ours_v2_corner_12k,ours_v2,inference_trace,11,expert_cross,"corner,gripperPOV",60,0.9999994774659474,2.1362720082895345e-07,0.1474714282900095,0.03600338677289083,0.1884041818479697,0.028746128879019398,3.422521035507392,0.23036592204514314,3.664252716257397,0.27406314206076066,3.56204362710317,0.10440139589875355
ours_v2_corner_12k,ours_v2,initial,3,expert_cross,observation.images.camera1,7,0.021204777860215733,0.005243327492092345,0.0052902438411755225,0.00018034268181659865,0.0039003729886774507,0.0004619088168832176,3.27559733869774,0.06319384159898452,4.057819999222245,0.06376366800975018,3.92447635105678,0.025310867431230642
ours_v2_corner_12k,ours_v2,initial,3,expert_cross,observation.images.camera2,7,0.02954024209507874,0.005192224544112324,0.005118568361337695,0.00014181598783061098,0.004438831603952816,0.0005979095581473716,3.514281665440649,0.030685188265426724,3.3246417736102427,0.10468389357397749,3.9080650125231062,0.040006986004811194
ours_v2_corner_12k,ours_v2,initial,7,expert_cross,observation.images.camera1,7,0.020173303250755583,0.001722304578667504,0.005559127910860947,0.00010192066101661045,0.0028001643783812013,0.00013501024650369113,3.2840408930288896,0.023525048822731248,3.6194545589387417,0.029370025285986694,4.0602303232465475,0.007857624658974183
ours_v2_corner_12k,ours_v2,initial,7,expert_cross,observation.images.camera2,7,0.011533749289810658,0.001076857097320193,0.005220175920320409,0.00014480021422401358,0.0017728162264185293,0.0002076896114775003,3.715342862797635,0.026587922619053076,3.497237272227981,0.0440401440332505,4.106170926775251,0.009728202231404052
ours_v2_corner_12k,ours_v2,initial,11,expert_cross,observation.images.camera1,7,0.008177424714501415,0.00025728472918646266,0.006063087311174188,5.623955706093887e-05,0.0006978667973141585,2.0369755770846833e-05,3.533743099043412,0.008052100123009097,3.496536545854594,0.006797601574016174,4.152411324637277,0.00042870753557862595
ours_v2_corner_12k,ours_v2,initial,11,expert_cross,observation.images.camera2,7,0.009053586050868034,0.00017115243768399827,0.006599040236324072,7.50997120241449e-05,0.0008981676156898695,2.7729459937606496e-05,3.4492376130074263,0.009381433770508204,3.5513480208548054,0.017675286262177105,4.149869237627302,0.0006236277885893591
ours_v3_corner_12k,ours_v3,inference_trace,3,expert_cross,"corner,gripperPOV",60,0.9999998400608698,7.655710747611909e-08,0.07065221921851238,0.024113176190594995,0.1765622335175673,0.018474273066044225,3.123160087611446,0.21941452983304657,4.032929474295409,0.32184154290426475,2.609834541877111,0.4148812404076544
ours_v3_corner_12k,ours_v3,inference_trace,7,expert_cross,"corner,gripperPOV",60,0.9999997615814209,8.429369702178807e-08,0.09437322070201239,0.020094461316828013,0.18576322694619496,0.01658202102842204,3.234558532946024,0.7236140504573229,3.2642879289896274,0.27265412866771455,3.0676417628924053,0.3023024275036455
ours_v3_corner_12k,ours_v3,inference_trace,11,expert_cross,"corner,gripperPOV",60,0.9999996165434519,2.116780914713673e-07,0.1218160329386592,0.043355032153949834,0.1817914048830668,0.022722540689495526,3.2692875112757367,0.23246781156179414,3.8069632492527186,0.5204185375946306,3.387298019727071,0.2712193323701851
ours_v3_corner_12k,ours_v3,initial,3,expert_cross,observation.images.camera1,7,0.02700869845492499,0.008984941170154723,0.00527679141876953,0.00016396625504925104,0.004810433668483581,0.001088556329752086,3.3226944364806905,0.11336010518784988,3.9628918420390358,0.10048082721514759,3.8593500001089915,0.07105312042429664
ours_v3_corner_12k,ours_v3,initial,3,expert_cross,observation.images.camera2,7,0.03571022328521524,0.006645950741866176,0.005124393517949751,0.00015149568526581867,0.005493386781641415,0.0007333738220936987,3.4552117655319825,0.04301623794852156,3.665070411416569,0.08148063827185115,3.819297960826329,0.057151021210032134
ours_v3_corner_12k,ours_v3,initial,7,expert_cross,observation.images.camera1,7,0.02013965616268771,0.001788386100089831,0.005625624276165452,8.131027154830034e-05,0.0036103598374341217,0.00011337064218356385,3.2017019198143055,0.028809429529458728,3.4428693623548106,0.03996040982360554,3.9999183927263533,0.009291709081588908
ours_v3_corner_12k,ours_v3,initial,7,expert_cross,observation.images.camera2,7,0.016050614150507108,0.001615828829199062,0.004959653597325087,0.0001289038215309924,0.0021731553632499917,0.0001632034346794598,3.7507105101166025,0.02531361373573916,3.4630964007893845,0.06014445776119814,4.079177515847342,0.008478920267518151
ours_v3_corner_12k,ours_v3,initial,11,expert_cross,observation.images.camera1,7,0.010679536765175206,0.0011752597757422093,0.006752675665276391,5.2460596568723236e-05,0.0009385429023365889,0.00011178428071068744,3.4491999726742506,0.009234625351919675,3.507547514380089,0.006724391007060854,4.149707044873919,0.0019812557422610195
ours_v3_corner_12k,ours_v3,initial,11,expert_cross,observation.images.camera2,7,0.00888442647244249,0.00015664810097661236,0.006540596618184021,6.938175991677522e-05,0.0008062738010526768,3.7137011612030375e-05,3.5187614474977766,0.00880895236035476,3.4952702363952994,0.021051058973350703,4.1514924594334195,0.0005810345657029632
ours_v4_corner_12k,ours_v4,inference_trace,3,expert_cross,"corner,gripperPOV",60,0.9999998112519582,7.313554413837578e-08,0.08285251924147209,0.027411158215739716,0.18966508234540622,0.020326814080115923,2.844243968289256,0.5057235022348647,3.9128057350289964,0.19033657889730604,2.7589999238650003,0.3406880421427785
ours_v4_corner_12k,ours_v4,inference_trace,7,expert_cross,"corner,gripperPOV",60,0.9999997625748317,9.07164069558371e-08,0.08841707582275073,0.022070432809649102,0.18111754581332207,0.017481946444439882,3.354160569507428,0.7041887668611906,3.1502655713903485,0.26251234331675666,3.00486189921697,0.3404115512419129
ours_v4_corner_12k,ours_v4,inference_trace,11,expert_cross,"corner,gripperPOV",60,0.9999995897213618,2.4213762866235144e-07,0.11446939104547103,0.04330331524004832,0.16546253139774006,0.021505960926714612,3.2890325204848825,0.1977811756537573,3.719370290481675,0.3267126496202909,3.4232348481814068,0.3074203261804434
ours_v4_corner_12k,ours_v4,initial,3,expert_cross,observation.images.camera1,6,0.023226507008075714,0.006092219325920916,0.0051952624538292485,0.0001380347374390185,0.004271119328526159,0.0005289731884400646,3.070034025896651,0.0830639102455591,4.069417345609206,0.10305698797172398,3.891005833943685,0.033317245132182066
ours_v4_corner_12k,ours_v4,initial,3,expert_cross,observation.images.camera2,6,0.03263871495922407,0.006837650339060814,0.0047173139949639635,0.00012177389670626172,0.004855170186298589,0.0009444123603837,3.562407986765417,0.04098712792541092,3.4361802535907677,0.07363215731624599,3.839969793955485,0.07491573722774574
ours_v4_corner_12k,ours_v4,initial,7,expert_cross,observation.images.camera1,6,0.01768953011681636,0.0013617800250925436,0.005363395903259516,8.694419911830192e-05,0.0030801022270073495,0.00017126533609066567,3.2313282660519085,0.017313343044614175,3.3709885724044093,0.02711138415701353,4.027385711669922,0.012301141138023115
ours_v4_corner_12k,ours_v4,initial,7,expert_cross,observation.images.camera2,6,0.01554968502993385,0.001717266167910419,0.0047299951159705715,0.00010824085398035733,0.002102810093977799,0.00017283554293727373,3.757143344109257,0.03164465615892198,3.4352754957508296,0.06242002174226003,4.077206214269002,0.009044241306244613
ours_v4_corner_12k,ours_v4,initial,11,expert_cross,observation.images.camera1,6,0.01060704467818141,0.0009532771541317735,0.006582933245226741,6.971496951858204e-05,0.0010404678081007053,7.8959017053709e-05,3.4500432008256516,0.009925122919363606,3.4568527368828654,0.007850859957078304,4.1470692952473955,0.001704617471221818
ours_v4_corner_12k,ours_v4,initial,11,expert_cross,observation.images.camera2,6,0.009438880408803621,0.0001237165115281248,0.006356583752979835,7.535257125498486e-05,0.0007915858392758915,2.742199342763994e-05,3.557306252575169,0.01063982361764525,3.514858725015074,0.021831559505395424,4.1513872146606445,0.0004623467608456644
random_corner_12k,random,inference_trace,3,expert_cross,"corner,gripperPOV",60,0.999999862909317,6.556510925292969e-08,0.0649681664382418,0.0159987658448101,0.16012477576732637,0.013887391096025423,3.1848880894965985,0.6274952810716534,3.6920863203548455,0.30395736956916924,2.7487596114476522,0.25949472390149986
random_corner_12k,random,inference_trace,7,expert_cross,"corner,gripperPOV",60,0.999999796350797,9.751124763505606e-08,0.08281960058957338,0.02780755631577923,0.177639240026474,0.022771858869440005,3.2318861639091363,0.6524330140003063,3.122025854936745,0.6769975896223634,2.9052386204401652,0.35449555080693324
random_corner_12k,random,inference_trace,11,expert_cross,"corner,gripperPOV",60,0.9999994566043218,2.852507646940671e-07,0.14029020195206007,0.051457761025162176,0.16917799959580104,0.01851768507270279,3.471389253792525,0.2816161371625322,3.643819761959791,0.299797673214307,3.575174081325531,0.24727102707682982
random_corner_12k,random,initial,3,expert_cross,observation.images.camera1,6,0.03200497850775719,0.00924531666666784,0.005490550926576058,0.0001814200498306632,0.005315711876998345,0.0013083719774891782,3.1723598890239373,0.13384241345228537,3.9139161421141275,0.11581088331989926,3.8439015547434487,0.08295919987639912
random_corner_12k,random,initial,3,expert_cross,observation.images.camera2,6,0.039019652952750526,0.008716518857273538,0.0050392672419548035,0.00016741975144885272,0.005386621070404847,0.0010108937727073498,3.5685622511276356,0.047843159385540776,3.3947160977404565,0.06997497264283482,3.837700287501017,0.06743635601199674
random_corner_12k,random,initial,7,expert_cross,observation.images.camera1,6,0.020061053335666656,0.0023269494053848767,0.005235360004007816,0.00011369477047683428,0.002895450103096664,0.00018805323169317122,3.266914480676254,0.025795936237074442,3.3461304214627794,0.03123066011002916,4.038819630940755,0.013602035236628071
random_corner_12k,random,initial,7,expert_cross,observation.images.camera2,6,0.012834489966432253,0.0014502950341990398,0.004994620957101385,0.00012329984236597442,0.0019520134082995355,0.00019327614497890712,3.70343766734004,0.012397465016531722,3.5774674586330852,0.049947407460113065,4.091231505076091,0.010629380569555254
