model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,0,1.0,3,expert_cross,50,177,50,0.3430844247341156,0.2050771266222,0.5481615513563156,0.1547008752822876,0.29713761806488037,0.0,0.0,40.447357177734375,22.074581146240234,189.734130859375
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,0,1.0,7,expert_cross,50,177,50,0.3098437190055847,0.2553353011608124,0.5651790201663971,0.2797430455684662,0.1550779640674591,0.0,0.0,40.447357177734375,22.074581146240234,189.734130859375
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,0,1.0,11,expert_cross,50,177,50,0.23528018593788147,0.2105063945055008,0.44578658044338226,0.46778929233551025,0.08642410486936569,0.0,2.2351741790771484e-08,40.447357177734375,22.074581146240234,189.734130859375
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,1,0.8999999761581421,3,expert_cross,50,177,50,0.3421188294887543,0.20556864142417908,0.5476874709129333,0.15492090582847595,0.2973916530609131,0.0,0.0,39.68064498901367,21.93743896484375,189.7371368408203
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,1,0.8999999761581421,7,expert_cross,50,177,50,0.3098701238632202,0.25268644094467163,0.5625565648078918,0.28149980306625366,0.1559436172246933,0.0,1.4901161193847656e-08,39.68064498901367,21.93743896484375,189.7371368408203
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,1,0.8999999761581421,11,expert_cross,50,177,50,0.23285123705863953,0.20788082480430603,0.44073206186294556,0.47095987200737,0.08830808848142624,0.0,0.0,39.68064498901367,21.93743896484375,189.7371368408203
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,2,0.800000011920929,3,expert_cross,50,177,50,0.339957594871521,0.2064494788646698,0.5464070737361908,0.15523430705070496,0.29835858941078186,0.0,2.9802322387695312e-08,39.03584289550781,22.08599853515625,189.7353973388672
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,2,0.800000011920929,7,expert_cross,50,177,50,0.31055909395217896,0.2514452040195465,0.5620042979717255,0.2822858989238739,0.15570981800556183,0.0,0.0,39.03584289550781,22.08599853515625,189.7353973388672
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,2,0.800000011920929,11,expert_cross,50,177,50,0.23180535435676575,0.20714563131332397,0.4389509856700897,0.4718974232673645,0.08915156871080399,0.0,2.2351741790771484e-08,39.03584289550781,22.08599853515625,189.7353973388672
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,3,0.699999988079071,3,expert_cross,50,177,50,0.3384058475494385,0.20797619223594666,0.5463820397853851,0.1548585742712021,0.2987593710422516,0.0,1.4901161193847656e-08,38.482906341552734,22.07619857788086,189.73974609375
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,3,0.699999988079071,7,expert_cross,50,177,50,0.3116360902786255,0.24990595877170563,0.5615420490503311,0.2829340100288391,0.15552391111850739,0.0,2.9802322387695312e-08,38.482906341552734,22.07619857788086,189.73974609375
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,3,0.699999988079071,11,expert_cross,50,177,50,0.2299421727657318,0.2074645608663559,0.4374067336320877,0.47331181168556213,0.08928148448467255,0.0,0.0,38.482906341552734,22.07619857788086,189.73974609375
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,4,0.6000000238418579,3,expert_cross,50,177,50,0.3357773423194885,0.2102830857038498,0.5460604280233383,0.15449441969394684,0.29944518208503723,0.0,0.0,38.01382827758789,22.140256881713867,189.72854614257812
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,4,0.6000000238418579,7,expert_cross,50,177,50,0.3135569989681244,0.2479758858680725,0.5615328848361969,0.28338998556137085,0.15507711470127106,0.0,1.4901161193847656e-08,38.01382827758789,22.140256881713867,189.72854614257812
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10049,20.0,90.0,4,0.6000000238418579,11,expert_cross,50,177,50,0.2279481589794159,0.20730748772621155,0.43525564670562744,0.4751430153846741,0.08960127830505371,0.0,5.960464477539063e-08,38.01382827758789,22.140256881713867,189.72854614257812
