model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,0,1.0,3,expert_cross,50,177,50,0.2749771177768707,0.284824937582016,0.5598020553588867,0.1370423138141632,0.3031556308269501,0.0,0.0,39.967288970947266,21.793230056762695,189.73931884765625
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,0,1.0,7,expert_cross,50,177,50,0.28232482075691223,0.2983054518699646,0.5806302726268768,0.22681115567684174,0.19255855679512024,0.0,1.4901161193847656e-08,39.967288970947266,21.793230056762695,189.73931884765625
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,0,1.0,11,expert_cross,50,177,50,0.31486964225769043,0.24168823659420013,0.5565578788518906,0.39264482259750366,0.05079726502299309,0.0,3.3527612686157227e-08,39.967288970947266,21.793230056762695,189.73931884765625
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,1,0.8999999761581421,3,expert_cross,50,177,50,0.27498602867126465,0.2839338183403015,0.5589198470115662,0.13719183206558228,0.3038882911205292,0.0,2.9802322387695312e-08,39.20469665527344,21.724437713623047,189.73883056640625
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,1,0.8999999761581421,7,expert_cross,50,177,50,0.2817906141281128,0.2950764298439026,0.5768670439720154,0.22926925122737885,0.1938636749982834,0.0,2.9802322387695312e-08,39.20469665527344,21.724437713623047,189.73883056640625
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,1,0.8999999761581421,11,expert_cross,50,177,50,0.3142548203468323,0.23937958478927612,0.5536344051361084,0.39569950103759766,0.05066610127687454,0.0,0.0,39.20469665527344,21.724437713623047,189.73883056640625
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,2,0.800000011920929,3,expert_cross,50,177,50,0.274922251701355,0.2830237150192261,0.557945966720581,0.13753649592399597,0.3045175075531006,0.0,2.9802322387695312e-08,38.5544319152832,21.826614379882812,189.734619140625
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,2,0.800000011920929,7,expert_cross,50,177,50,0.2819729745388031,0.29335033893585205,0.5753233134746552,0.22985439002513885,0.1948222666978836,0.0,2.9802322387695312e-08,38.5544319152832,21.826614379882812,189.734619140625
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,2,0.800000011920929,11,expert_cross,50,177,50,0.3141043782234192,0.2387361228466034,0.5528405010700226,0.39630022644996643,0.05085934326052666,0.0,0.0,38.5544319152832,21.826614379882812,189.734619140625
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,3,0.699999988079071,3,expert_cross,50,177,50,0.27478188276290894,0.28192827105522156,0.5567101538181305,0.13832969963550568,0.30496013164520264,0.0,1.4901161193847656e-08,37.990230560302734,21.916521072387695,189.7324981689453
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,3,0.699999988079071,7,expert_cross,50,177,50,0.28144678473472595,0.29144418239593506,0.572890967130661,0.23253905773162842,0.19456994533538818,0.0,2.9802322387695312e-08,37.990230560302734,21.916521072387695,189.7324981689453
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,3,0.699999988079071,11,expert_cross,50,177,50,0.31462469696998596,0.2394147366285324,0.5540394335985184,0.395907998085022,0.05005254969000816,0.0,1.862645149230957e-08,37.990230560302734,21.916521072387695,189.7324981689453
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,4,0.6000000238418579,3,expert_cross,50,177,50,0.27502933144569397,0.2812454402446747,0.5562747716903687,0.13862580060958862,0.3050994575023651,0.0,0.0,37.508270263671875,22.220008850097656,189.7225799560547
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,4,0.6000000238418579,7,expert_cross,50,177,50,0.2806633412837982,0.28895995020866394,0.5696232914924622,0.23554478585720062,0.19483192265033722,0.0,0.0,37.508270263671875,22.220008850097656,189.7225799560547
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,4,0.6000000238418579,11,expert_cross,50,177,50,0.3156144320964813,0.2413206398487091,0.5569350719451904,0.39335066080093384,0.04971424490213394,0.0,2.2351741790771484e-08,37.508270263671875,22.220008850097656,189.7225799560547
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,5,0.5,3,expert_cross,50,177,50,0.2759961783885956,0.27996745705604553,0.5559636354446411,0.13876721262931824,0.3052690923213959,0.0,5.960464477539063e-08,37.104591369628906,22.423131942749023,189.73641967773438
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,5,0.5,7,expert_cross,50,177,50,0.2806906998157501,0.2872142195701599,0.56790491938591,0.23742972314357758,0.1946653425693512,0.0,1.4901161193847656e-08,37.104591369628906,22.423131942749023,189.73641967773438
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,5,0.5,11,expert_cross,50,177,50,0.3162256181240082,0.24341976642608643,0.5596453845500946,0.39177167415618896,0.048582907766103745,0.0,3.3527612686157227e-08,37.104591369628906,22.423131942749023,189.73641967773438
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,6,0.4000000059604645,3,expert_cross,50,177,50,0.27758267521858215,0.2795626223087311,0.5571452975273132,0.13999854028224945,0.3028561472892761,0.0,1.4901161193847656e-08,36.77164077758789,22.945154190063477,189.7318878173828
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,6,0.4000000059604645,7,expert_cross,50,177,50,0.27987971901893616,0.2863079011440277,0.5661876201629639,0.2406603991985321,0.1931520253419876,0.0,0.0,36.77164077758789,22.945154190063477,189.7318878173828
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,6,0.4000000059604645,11,expert_cross,50,177,50,0.3192960023880005,0.24885119497776031,0.5681471973657608,0.38506922125816345,0.04678356274962425,0.0,1.862645149230957e-08,36.77164077758789,22.945154190063477,189.7318878173828
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,7,0.30000001192092896,3,expert_cross,50,177,50,0.28009527921676636,0.2795659899711609,0.5596612691879272,0.14260989427566528,0.29772883653640747,0.0,0.0,36.50682830810547,23.53609275817871,189.7402801513672
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,7,0.30000001192092896,7,expert_cross,50,177,50,0.2795867621898651,0.2844929099082947,0.5640796720981598,0.24520042538642883,0.19071993231773376,0.0,0.0,36.50682830810547,23.53609275817871,189.7402801513672
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,7,0.30000001192092896,11,expert_cross,50,177,50,0.3235514163970947,0.25799837708473206,0.5815497934818268,0.37434208393096924,0.04410816356539726,0.0,0.0,36.50682830810547,23.53609275817871,189.7402801513672
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,8,0.20000000298023224,3,expert_cross,50,177,50,0.2833307385444641,0.2810884416103363,0.5644191801548004,0.1479315608739853,0.2876492440700531,0.0,1.4901161193847656e-08,36.2694091796875,24.593036651611328,189.74423217773438
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,8,0.20000000298023224,7,expert_cross,50,177,50,0.28004190325737,0.2835128903388977,0.5635547935962677,0.250608891248703,0.18583638966083527,0.0,0.0,36.2694091796875,24.593036651611328,189.74423217773438
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,8,0.20000000298023224,11,expert_cross,50,177,50,0.32796308398246765,0.2702741026878357,0.5982371866703033,0.3603883385658264,0.041374459862709045,0.0,1.4901161193847656e-08,36.2694091796875,24.593036651611328,189.74423217773438
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,9,0.10000000149011612,3,expert_cross,50,177,50,0.2933456599712372,0.28327566385269165,0.5766213238239288,0.15819565951824188,0.26518306136131287,0.0,0.0,35.99513244628906,27.235105514526367,189.73240661621094
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,9,0.10000000149011612,7,expert_cross,50,177,50,0.2823680341243744,0.2802586555480957,0.5626266896724701,0.26381540298461914,0.17355793714523315,0.0,0.0,35.99513244628906,27.235105514526367,189.73240661621094
random_corner_12k,random,"corner,gripperPOV",10045,32.0,94.5,9,0.10000000149011612,11,expert_cross,50,177,50,0.3361358940601349,0.2882748544216156,0.6244107484817505,0.3387329876422882,0.036856334656476974,0.0,0.0,35.99513244628906,27.235105514526367,189.73240661621094
