model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,0,1.0,3,expert_cross,50,177,50,0.3070583939552307,0.2365604192018509,0.5436188131570816,0.15781211853027344,0.29856908321380615,0.0,0.0,40.96978759765625,20.387765884399414,189.74635314941406
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,0,1.0,7,expert_cross,50,177,50,0.3513431251049042,0.2479248046875,0.5992679297924042,0.2528165280818939,0.1479155272245407,0.0,1.4901161193847656e-08,40.96978759765625,20.387765884399414,189.74635314941406
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,0,1.0,11,expert_cross,50,177,50,0.24576513469219208,0.21988990902900696,0.46565504372119904,0.45415905117988586,0.08018584549427032,0.0,5.960464477539063e-08,40.96978759765625,20.387765884399414,189.74635314941406
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,1,0.8999999761581421,3,expert_cross,50,177,50,0.3066042363643646,0.23662078380584717,0.5432250201702118,0.1576574146747589,0.2991175651550293,0.0,0.0,40.27212142944336,20.43537712097168,189.73741149902344
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,1,0.8999999761581421,7,expert_cross,50,177,50,0.3510808050632477,0.24554455280303955,0.5966253578662872,0.25468820333480835,0.1486864537000656,0.0,0.0,40.27212142944336,20.43537712097168,189.73741149902344
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,1,0.8999999761581421,11,expert_cross,50,177,50,0.24423107504844666,0.2166735827922821,0.46090465784072876,0.45836031436920166,0.08073502779006958,0.0,0.0,40.27212142944336,20.43537712097168,189.73741149902344
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,2,0.800000011920929,3,expert_cross,50,177,50,0.30575627088546753,0.23659661412239075,0.5423528850078583,0.1577860713005066,0.29986101388931274,0.0,2.9802322387695312e-08,39.680599212646484,20.72810173034668,189.73226928710938
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,2,0.800000011920929,7,expert_cross,50,177,50,0.3487217128276825,0.24493741989135742,0.5936591327190399,0.2566819190979004,0.1496589630842209,0.0,0.0,39.680599212646484,20.72810173034668,189.73226928710938
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,2,0.800000011920929,11,expert_cross,50,177,50,0.24304622411727905,0.21748000383377075,0.4605262279510498,0.4603118896484375,0.0791618749499321,0.0,7.450580596923828e-09,39.680599212646484,20.72810173034668,189.73226928710938
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,3,0.699999988079071,3,expert_cross,50,177,50,0.3049662113189697,0.2375415861606598,0.5425077974796295,0.15773922204971313,0.29975298047065735,0.0,0.0,39.152774810791016,21.043712615966797,189.73040771484375
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,3,0.699999988079071,7,expert_cross,50,177,50,0.3501974642276764,0.24173898994922638,0.5919364541769028,0.258266806602478,0.1497967541217804,0.0,0.0,39.152774810791016,21.043712615966797,189.73040771484375
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,25.5,95.5,3,0.699999988079071,11,expert_cross,50,177,50,0.2432493418455124,0.2183225154876709,0.4615718573331833,0.4608406126499176,0.07758751511573792,0.0,1.4901161193847656e-08,39.152774810791016,21.043712615966797,189.73040771484375
