method_name,position_correlation,d_bar_ratio,cluster_separation,overall_score,start_pct,end_pct,window_length_pct,weighting,cache_key,recommended
temporal_weighted_window,0.015368733109935473,4.124643962268083e-14,0.0,0.009221239865969531,0.0,1.0,1.0,gaussian,dd510ecd39b86872d3ea7f58dda16fbc,
temporal_weighted_window,0.015232380052968045,5.755617962533835e-14,0.0,0.009139428031792338,0.3,0.95,0.6499999999999999,cosine,951757de8e25c1dedd3b10e70076340f,
temporal_window,0.014972771667709982,0.0652431972803913,0.0,0.022032302456704247,0.2,0.55,0.35000000000000003,uniform,e9e4ec9e60323a6c216b664d703e9f42,
temporal_weighted_window,0.014866139875887878,5.237546598954955e-14,0.0,0.0089196839255432,0.1,0.7,0.6,cosine,c59b44a9fa2f57c9677c3d62d0528662,
temporal_weighted_window,0.014706198772740892,3.714069140660941e-14,0.0,0.008823719263651964,0.05,0.5,0.45,cosine,9bc84130d50822edc399036888af9436,
temporal_window,0.014462888726487998,0.07148516281685315,121.74755369365771,24.372485504530804,0.0,0.55,0.55,uniform,c037a5be7c0fd34774e8c3cd72e423c2,
temporal_weighted_window,0.014425201746694587,1.251783995502313e-13,0.0,0.008655121048041788,0.6,0.95,0.35,triangular,2784ae4820c048fb0880aa0d7edf1b79,
temporal_weighted_window,0.014315765592089434,5.635790792352518e-14,0.0,0.008589459355264933,0.3,0.9,0.6000000000000001,cosine,46d843ea659157c486a807b41a5dd491,
temporal_weighted_window,0.014302094682750257,1.336733048526172e-13,0.0,0.008581256809676887,0.05,0.35,0.3,gaussian,f30edc95a9038105520b1a294ff702a3,
temporal_weighted_window,0.014302094682750257,3.4292065848160373e-14,0.0,0.008581256809657012,0.65,0.95,0.29999999999999993,cosine,588215b672a5f634b31d92aa53283ccf,
temporal_weighted_window,0.014258463459576048,6.327225577256465e-14,0.0,0.008555078075758284,0.05,0.9,0.85,triangular,e61494ff4de9cd38f30ed0e60eb7999e,
temporal_weighted_window,0.01421149098714445,6.767440666172975e-14,0.0,0.008526894592300204,0.05,0.8,0.75,gaussian,a6b3699a34910fe015072d12ba8fe184,
temporal_weighted_window,0.014185315020381577,1.2004691410719377e-13,0.0,0.008511189012252954,0.1,0.65,0.55,gaussian,e4948200254565ee82902711ca35b084,
temporal_weighted_window,0.01413371905015343,1.3219348772770455e-13,0.0,0.008480231430118496,0.65,0.95,0.29999999999999993,gaussian,262f8380c3d9215132ec53b4d0a64d83,
temporal_weighted_window,0.014093906065721189,6.895433183189223e-14,0.0,0.008456343639446504,0.05,0.65,0.6,cosine,6fd974b371131a893e0075515ee6736e,
temporal_window,0.014064824543842983,0.06798594639882179,7.03836399365042,1.4297088827361542,0.0,0.65,0.65,uniform,b30edc12343c748867d53e34b14632f8,
temporal_multi_window,0.013925851753002734,0.0,0.0,0.00835551105180164,0.15,0.35,0.19999999999999998,uniform,54af53cf1fdecd78f2cfb740c5c6100b,
temporal_window,0.013763417748907509,0.07645106658130044,3.9674418044082747,0.8170366248472596,0.0,0.9,0.9,uniform,4751b6f0ccf888a336d8eace83c2de2f,
temporal_weighted_window,0.013719810766481282,4.64682785439564e-14,0.0,0.008231886459898061,0.0,0.7,0.7,cosine,2037f773262ce325fad1072b06885eb9,
temporal_weighted_window,0.013570268685870782,7.327157587236073e-14,0.0,0.008142161211537123,0.25,0.95,0.7,gaussian,ad894137b2d0ef6d84c284007bd4a468,
