rank,method_name,position_correlation,d_bar_ratio,cluster_separation,overall_score,start_pct,end_pct,window_length_pct,weighting,cache_key
362,temporal_weighted_window,0.0295389024888015,0.0999999999543828,0.0,0.0377233414841575,0.1,0.9,0.8,cosine,dee86b0e116c84655744ff69b348e964
363,temporal_weighted_window,0.0294457322508643,0.0999999998080327,0.0,0.0376674393121251,0.0,0.85,0.85,gaussian,226781f36fea1c935af6a51b9da9ab14
364,temporal_window,0.0294438459020072,0.0434662603507269,0.0,0.0263595596113497,0.65,1.0,0.35,uniform,cce02048ef322c82c88d47bf5ee74c6c
365,temporal_weighted_window,0.0294280097673312,0.0999999998832609,0.0,0.0376568058370509,0.15,0.9,0.75,gaussian,59e327ccb890b0f1e5cb3ca7396704bb
366,temporal_multi_window,0.0293829248726247,0.1045014349197378,0.0,0.0385300419075224,0.1,0.65,0.55,uniform,613fdf37da7e787c34fdb4763a5e16d1
367,temporal_weighted_window,0.0292524071867394,0.099999999947786,0.0,0.0375514443016008,0.05,0.8,0.75,triangular,74f683fd42a5379401686a1adf79d45b
368,temporal_window,0.0292386737093402,0.1041728919641484,754.9413123906813,151.0266402607547,0.25,0.75,0.5,uniform,3486f61226e538be94b066d6d68cf003
369,temporal_multi_window,0.0291398475121552,0.0,0.0,0.0174839085072931,0.3,0.5,0.2,uniform,66a214068e59805923d91d232ac57e88
370,temporal_weighted_window,0.0290150256053624,0.0999999998340845,0.0,0.0374090153300343,0.1,0.85,0.75,gaussian,6fdb8c406141081af7d89bc77e642ee4
371,temporal_weighted_window,0.029013307154834,0.09999999615311,0.0,0.0374079835235224,0.05,0.6,0.5499999999999999,cosine,10370227a557cf73e08e80a42ebb07d3
372,temporal_weighted_window,0.0290091993139999,0.0999999890533614,0.0,0.0374055173990722,0.5,1.0,0.5,cosine,cc40ffad3eedc5ad24d2ceb80abadd3d
373,temporal_weighted_window,0.0289076836461479,0.0999999998533261,0.0,0.037344610158354,0.2,0.95,0.75,triangular,85ec401269d7a672e256adafacaa1d35
374,temporal_weighted_window,0.0288973770854721,0.0999999999260682,0.0,0.0373384262364969,0.25,0.95,0.7,triangular,d08f6065963ac466b48630163014548f
375,temporal_weighted_window,0.0288527971481659,0.0999999998855581,0.0,0.0373116782660111,0.15,1.0,0.85,triangular,b9eec2792ebf030664ba85a6b8fb1f23
376,temporal_weighted_window,0.0288460393870141,0.0999999933394537,0.0,0.0373076223000992,0.5,0.9,0.4,cosine,99a5dfffaad9147b1e33128b27e42809
377,temporal_window,0.0288406952509084,0.0,0.0,0.017304417150545,0.55,0.8,0.25,uniform,f60d6f1a58197c2842824761f35cf0c8
378,temporal_weighted_window,0.0287216122431393,0.0999999984049916,0.0,0.0372329670268819,0.5,0.95,0.4499999999999999,triangular,86a793e036d881a6ea4f254c42c37e99
379,temporal_weighted_window,0.0286455697028435,0.0999999981515338,0.0,0.0371873414520129,0.1,0.7,0.6,gaussian,1633e23b1465e42ae25aea3f7b3afb1b
380,temporal_weighted_window,0.0286323650320134,0.0999999987060364,0.0,0.0371794187604153,0.05,0.6,0.5499999999999999,triangular,6932b6de6cf27ca4eda0575461afe30c
381,temporal_weighted_window,0.02855621403944,0.0999999998881962,0.0,0.0371337284013032,0.05,0.8,0.75,cosine,9fd97aaaa34c1ea9ca8e38c77cb89f74
382,temporal_weighted_window,0.02849391297743,0.0999999999403982,0.0,0.0370963477745376,0.1,1.0,0.9,gaussian,fd0b5d02f7180a4f8e901b9d3c836cbf
383,temporal_weighted_window,0.0284205754385857,0.0999999997353246,0.0,0.0370523452102163,0.2,0.7,0.4999999999999999,triangular,739973b3b8573ffaeb9fcf620ba20e34
