model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,34.5,95.0,0,1.0,3,expert_cross,50,177,50,0.30945268273353577,0.23757535219192505,0.5470280349254608,0.1525656133890152,0.3004063665866852,0.0,0.0,38.880435943603516,23.447519302368164,189.73306274414062
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,34.5,95.0,0,1.0,7,expert_cross,50,177,50,0.24359825253486633,0.2969297766685486,0.5405280292034149,0.26088041067123413,0.19859157502651215,0.0,0.0,38.880435943603516,23.447519302368164,189.73306274414062
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,34.5,95.0,0,1.0,11,expert_cross,50,177,50,0.3206043243408203,0.25476500391960144,0.5753693282604218,0.375515878200531,0.04911483824253082,0.0,0.0,38.880435943603516,23.447519302368164,189.73306274414062
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,34.5,95.0,1,0.8999999761581421,3,expert_cross,50,177,50,0.3084285855293274,0.23841296136379242,0.5468415468931198,0.15287384390830994,0.30028456449508667,0.0,4.470348358154297e-08,38.129966735839844,23.329660415649414,189.7362823486328
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,34.5,95.0,1,0.8999999761581421,7,expert_cross,50,177,50,0.24281398952007294,0.2950616180896759,0.5378756076097488,0.2624453008174896,0.19967909157276154,0.0,0.0,38.129966735839844,23.329660415649414,189.7362823486328
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,34.5,95.0,1,0.8999999761581421,11,expert_cross,50,177,50,0.3190652132034302,0.2518414258956909,0.5709066390991211,0.3802328407764435,0.048860520124435425,0.0,0.0,38.129966735839844,23.329660415649414,189.7362823486328
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,34.5,95.0,2,0.800000011920929,3,expert_cross,50,177,50,0.3083137571811676,0.23845244944095612,0.5467662066221237,0.15287894010543823,0.30035483837127686,0.0,1.4901161193847656e-08,37.53117752075195,23.349458694458008,189.73252868652344
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,34.5,95.0,2,0.800000011920929,7,expert_cross,50,177,50,0.24324479699134827,0.2914407551288605,0.5346855521202087,0.26512908935546875,0.20018529891967773,0.0,5.960464477539063e-08,37.53117752075195,23.349458694458008,189.73252868652344
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,34.5,95.0,2,0.800000011920929,11,expert_cross,50,177,50,0.31801724433898926,0.25171923637390137,0.5697364807128906,0.38152432441711426,0.04873917996883392,0.0,1.4901161193847656e-08,37.53117752075195,23.349458694458008,189.73252868652344
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10043,34.5,95.0,3,0.699999988079071,3,expert_cross,50,177,50,0.30768758058547974,0.2388254851102829,0.5465130656957626,0.15325093269348145,0.3002359867095947,0.0,1.4901161193847656e-08,37.02869415283203,23.460697174072266,189.73574829101562
