model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,0,1.0,3,expert_cross,50,177,50,0.2830992043018341,0.24798175692558289,0.531080961227417,0.16189269721508026,0.30702629685401917,0.0,4.470348358154297e-08,40.10272216796875,21.02725601196289,189.73707580566406
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,0,1.0,7,expert_cross,50,177,50,0.3015618324279785,0.267051100730896,0.5686129331588745,0.2718355059623718,0.15955159068107605,0.0,0.0,40.10272216796875,21.02725601196289,189.73707580566406
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,0,1.0,11,expert_cross,50,177,50,0.2062588632106781,0.2311616986989975,0.4374205619096756,0.47594577074050903,0.08663366734981537,0.0,0.0,40.10272216796875,21.02725601196289,189.73707580566406
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,1,0.8999999761581421,3,expert_cross,50,177,50,0.2823066711425781,0.24852417409420013,0.5308308452367783,0.1618674099445343,0.3073018193244934,0.0,0.0,39.30302810668945,20.93890380859375,189.73187255859375
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,1,0.8999999761581421,7,expert_cross,50,177,50,0.3019056022167206,0.26481592655181885,0.5667215287685394,0.2731415033340454,0.16013701260089874,0.0,0.0,39.30302810668945,20.93890380859375,189.73187255859375
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,1,0.8999999761581421,11,expert_cross,50,177,50,0.204477459192276,0.22798767685890198,0.432465136051178,0.47996529936790466,0.08756963163614273,0.0,0.0,39.30302810668945,20.93890380859375,189.73187255859375
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,2,0.800000011920929,3,expert_cross,50,177,50,0.2814292311668396,0.24847540259361267,0.5299046337604523,0.1622343808412552,0.30786097049713135,0.0,1.4901161193847656e-08,38.61882781982422,21.085233688354492,189.72955322265625
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,2,0.800000011920929,7,expert_cross,50,177,50,0.3006192445755005,0.26249960064888,0.5631188452243805,0.2759639024734497,0.160917267203331,0.0,0.0,38.61882781982422,21.085233688354492,189.72955322265625
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,2,0.800000011920929,11,expert_cross,50,177,50,0.2032495141029358,0.22857581079006195,0.43182532489299774,0.48151105642318726,0.08666355162858963,0.0,6.705522537231445e-08,38.61882781982422,21.085233688354492,189.72955322265625
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,3,0.699999988079071,3,expert_cross,50,177,50,0.2806067168712616,0.24960492551326752,0.5302116423845291,0.16236193478107452,0.30742642283439636,0.0,0.0,38.007930755615234,21.31513023376465,189.7389373779297
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,3,0.699999988079071,7,expert_cross,50,177,50,0.30234643816947937,0.25928229093551636,0.5616287291049957,0.2775280773639679,0.16084322333335876,0.0,0.0,38.007930755615234,21.31513023376465,189.7389373779297
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,3,0.699999988079071,11,expert_cross,50,177,50,0.2031109482049942,0.22944845259189606,0.43255940079689026,0.48215869069099426,0.08528192341327667,0.0,0.0,38.007930755615234,21.31513023376465,189.7389373779297
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,4,0.6000000238418579,3,expert_cross,50,177,50,0.2796666622161865,0.2507861256599426,0.5304527878761292,0.16291077435016632,0.30663642287254333,0.0,1.4901161193847656e-08,37.46933364868164,21.528785705566406,189.73330688476562
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,4,0.6000000238418579,7,expert_cross,50,177,50,0.30161252617836,0.25692740082740784,0.5585399270057678,0.2799062430858612,0.16155385971069336,0.0,0.0,37.46933364868164,21.528785705566406,189.73330688476562
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,4,0.6000000238418579,11,expert_cross,50,177,50,0.20233386754989624,0.23012776672840118,0.4324616342782974,0.48318561911582947,0.0843527764081955,0.0,0.0,37.46933364868164,21.528785705566406,189.73330688476562
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,5,0.5,3,expert_cross,50,177,50,0.2791903018951416,0.2524561285972595,0.5316464304924011,0.16264048218727112,0.30571308732032776,0.0,0.0,37.01006317138672,21.766056060791016,189.73208618164062
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,5,0.5,7,expert_cross,50,177,50,0.3028598725795746,0.2550767958164215,0.5579366683959961,0.2803943157196045,0.16166901588439941,0.0,0.0,37.01006317138672,21.766056060791016,189.73208618164062
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,5,0.5,11,expert_cross,50,177,50,0.20211629569530487,0.23148950934410095,0.4336058050394058,0.4835740029811859,0.08282025903463364,0.0,0.0,37.01006317138672,21.766056060791016,189.73208618164062
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,6,0.4000000059604645,3,expert_cross,50,177,50,0.2786028981208801,0.2549174427986145,0.5335203409194946,0.1627657115459442,0.30371391773223877,0.0,2.9802322387695312e-08,36.6170539855957,22.229084014892578,189.74034118652344
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,6,0.4000000059604645,7,expert_cross,50,177,50,0.30396905541419983,0.2540181279182434,0.5579871833324432,0.28184831142425537,0.16016453504562378,0.0,0.0,36.6170539855957,22.229084014892578,189.74034118652344
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,6,0.4000000059604645,11,expert_cross,50,177,50,0.20431745052337646,0.2362556755542755,0.440573126077652,0.47972166538238525,0.07970517128705978,0.0,3.725290298461914e-08,36.6170539855957,22.229084014892578,189.74034118652344
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,7,0.30000001192092896,3,expert_cross,50,177,50,0.2791811525821686,0.25826936960220337,0.537450522184372,0.16335119307041168,0.29919829964637756,0.0,0.0,36.281700134277344,22.771825790405273,189.73863220214844
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10046,25.5,95.5,7,0.30000001192092896,7,expert_cross,50,177,50,0.30536919832229614,0.2538869082927704,0.5592561066150665,0.2835904657840729,0.15715338289737701,0.0,4.470348358154297e-08,36.281700134277344,22.771825790405273,189.73863220214844
