model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,0,1.0,3,expert_cross,50,177,50,0.2887047231197357,0.26838773488998413,0.5570924580097198,0.14390961825847626,0.2989979386329651,0.0,0.0,40.20967102050781,23.690872192382812,189.7279052734375
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,0,1.0,7,expert_cross,50,177,50,0.3055092990398407,0.21277248859405518,0.5182817876338959,0.2679784297943115,0.2137397676706314,0.0,1.4901161193847656e-08,40.20967102050781,23.690872192382812,189.7279052734375
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,0,1.0,11,expert_cross,50,177,50,0.3711095452308655,0.24187631905078888,0.6129858642816544,0.3431192934513092,0.04389476031064987,0.0,8.195638656616211e-08,40.20967102050781,23.690872192382812,189.7279052734375
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,1,0.8999999761581421,3,expert_cross,50,177,50,0.2881774604320526,0.2682982087135315,0.5564756691455841,0.14452286064624786,0.29900139570236206,0.0,7.450580596923828e-08,39.321571350097656,23.659652709960938,189.73533630371094
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,1,0.8999999761581421,7,expert_cross,50,177,50,0.3037431538105011,0.21052128076553345,0.5142644345760345,0.2702370882034302,0.21549852192401886,0.0,0.0,39.321571350097656,23.659652709960938,189.73533630371094
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,1,0.8999999761581421,11,expert_cross,50,177,50,0.3700312376022339,0.2391621321439743,0.6091933697462082,0.3469671905040741,0.04383939132094383,0.0,4.842877388000488e-08,39.321571350097656,23.659652709960938,189.73533630371094
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,2,0.800000011920929,3,expert_cross,50,177,50,0.28822728991508484,0.2679874002933502,0.5562146902084351,0.14467987418174744,0.2991054356098175,0.0,0.0,38.58279037475586,23.772367477416992,189.739013671875
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,2,0.800000011920929,7,expert_cross,50,177,50,0.302389532327652,0.20880798995494843,0.5111975222826004,0.2725352942943573,0.2162671685218811,0.0,1.4901161193847656e-08,38.58279037475586,23.772367477416992,189.739013671875
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,2,0.800000011920929,11,expert_cross,50,177,50,0.36931362748146057,0.23930683732032776,0.6086204648017883,0.3475654423236847,0.043814096599817276,0.0,0.0,38.58279037475586,23.772367477416992,189.739013671875
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,3,0.699999988079071,3,expert_cross,50,177,50,0.28813907504081726,0.2676538825035095,0.5557929575443268,0.1452646702528,0.2989423871040344,0.0,0.0,37.938568115234375,24.04686737060547,189.73968505859375
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,3,0.699999988079071,7,expert_cross,50,177,50,0.3007306456565857,0.2068072110414505,0.5075378566980362,0.2754731774330139,0.21698899567127228,0.0,0.0,37.938568115234375,24.04686737060547,189.73968505859375
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,3,0.699999988079071,11,expert_cross,50,177,50,0.3695386052131653,0.2418469786643982,0.6113855838775635,0.3456140458583832,0.04300035536289215,0.0,1.4901161193847656e-08,37.938568115234375,24.04686737060547,189.73968505859375
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,4,0.6000000238418579,3,expert_cross,50,177,50,0.2873475253582001,0.2675120234489441,0.5548595488071442,0.14574812352657318,0.2993922829627991,0.0,4.470348358154297e-08,37.40268325805664,24.378402709960938,189.73062133789062
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,4,0.6000000238418579,7,expert_cross,50,177,50,0.2978460192680359,0.20416676998138428,0.5020127892494202,0.2786640226840973,0.21932321786880493,0.0,0.0,37.40268325805664,24.378402709960938,189.73062133789062
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,4,0.6000000238418579,11,expert_cross,50,177,50,0.36797860264778137,0.24341678619384766,0.611395388841629,0.34540584683418274,0.04319872707128525,0.0,3.725290298461914e-08,37.40268325805664,24.378402709960938,189.73062133789062
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,5,0.5,3,expert_cross,50,177,50,0.2880786955356598,0.267357736825943,0.5554364323616028,0.1458558589220047,0.2987076938152313,0.0,1.4901161193847656e-08,36.96854782104492,24.712383270263672,189.73764038085938
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,5,0.5,7,expert_cross,50,177,50,0.29533490538597107,0.20296260714530945,0.4982975125312805,0.28084254264831543,0.22085992991924286,0.0,1.4901161193847656e-08,36.96854782104492,24.712383270263672,189.73764038085938
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,5,0.5,11,expert_cross,50,177,50,0.3662750720977783,0.2464962601661682,0.6127713322639465,0.34396129846572876,0.043267372995615005,0.0,0.0,36.96854782104492,24.712383270263672,189.73764038085938
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,6,0.4000000059604645,3,expert_cross,50,177,50,0.287576287984848,0.26744088530540466,0.5550171732902527,0.14743520319461823,0.2975476384162903,0.0,0.0,36.63172149658203,25.154727935791016,189.7347412109375
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,6,0.4000000059604645,7,expert_cross,50,177,50,0.29495686292648315,0.20266027748584747,0.4976171404123306,0.28234031796455383,0.22004248201847076,0.0,5.960464477539063e-08,36.63172149658203,25.154727935791016,189.7347412109375
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,6,0.4000000059604645,11,expert_cross,50,177,50,0.3656242787837982,0.2519668936729431,0.6175911724567413,0.34088844060897827,0.04152040556073189,0.0,0.0,36.63172149658203,25.154727935791016,189.7347412109375
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,7,0.30000001192092896,3,expert_cross,50,177,50,0.2880473732948303,0.2677539587020874,0.5558013319969177,0.15053381025791168,0.2936648726463318,0.0,0.0,36.37989807128906,26.03608512878418,189.73695373535156
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,7,0.30000001192092896,7,expert_cross,50,177,50,0.2910938858985901,0.2017461359500885,0.4928400218486786,0.2862454950809479,0.22091451287269592,0.0,0.0,36.37989807128906,26.03608512878418,189.73695373535156
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,7,0.30000001192092896,11,expert_cross,50,177,50,0.3637339174747467,0.25846484303474426,0.622198760509491,0.3366783857345581,0.04112282767891884,0.0,2.60770320892334e-08,36.37989807128906,26.03608512878418,189.73695373535156
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,8,0.20000000298023224,3,expert_cross,50,177,50,0.28901466727256775,0.2677193582057953,0.556734025478363,0.15621636807918549,0.2870495915412903,0.0,1.4901161193847656e-08,36.191646575927734,27.69746208190918,189.74545288085938
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,8,0.20000000298023224,7,expert_cross,50,177,50,0.28685903549194336,0.20246531069278717,0.48932434618473053,0.2904326021671295,0.22024308145046234,0.0,0.0,36.191646575927734,27.69746208190918,189.74545288085938
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,8,0.20000000298023224,11,expert_cross,50,177,50,0.3634326159954071,0.2695061266422272,0.6329387426376343,0.32767316699028015,0.03938812389969826,0.0,0.0,36.191646575927734,27.69746208190918,189.74545288085938
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,9,0.10000000149011612,3,expert_cross,50,177,50,0.2940731346607208,0.26859787106513977,0.5626710057258606,0.16785499453544617,0.2694740295410156,0.0,0.0,35.979713439941406,31.412202835083008,189.73594665527344
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,9,0.10000000149011612,7,expert_cross,50,177,50,0.28255099058151245,0.20659343898296356,0.489144429564476,0.30041390657424927,0.21044163405895233,0.0,2.9802322387695312e-08,35.979713439941406,31.412202835083008,189.73594665527344
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10044,34.5,95.0,9,0.10000000149011612,11,expert_cross,50,177,50,0.3643887937068939,0.27916061878204346,0.6435494124889374,0.3193296790122986,0.037120915949344635,0.0,0.0,35.979713439941406,31.412202835083008,189.73594665527344
