model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,0,1.0,3,expert_cross,50,177,50,0.28277596831321716,0.2523984909057617,0.5351744592189789,0.16098494827747345,0.3038405776023865,0.0,1.4901161193847656e-08,38.880435943603516,20.168407440185547,189.7421417236328
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,0,1.0,7,expert_cross,50,177,50,0.24810685217380524,0.3773323595523834,0.6254392117261887,0.24720536172389984,0.1273554116487503,0.0,1.4901161193847656e-08,38.880435943603516,20.168407440185547,189.7421417236328
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,0,1.0,11,expert_cross,50,177,50,0.17998474836349487,0.26946690678596497,0.44945165514945984,0.46947532892227173,0.08107300102710724,0.0,1.4901161193847656e-08,38.880435943603516,20.168407440185547,189.7421417236328
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,1,0.8999999761581421,3,expert_cross,50,177,50,0.2820098102092743,0.25308433175086975,0.535094141960144,0.1607913076877594,0.30411452054977417,0.0,2.9802322387695312e-08,38.22300338745117,20.14501190185547,189.74020385742188
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,1,0.8999999761581421,7,expert_cross,50,177,50,0.24891550838947296,0.37485140562057495,0.6237669140100479,0.24831490218639374,0.12791819870471954,0.0,0.0,38.22300338745117,20.14501190185547,189.74020385742188
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,1,0.8999999761581421,11,expert_cross,50,177,50,0.17764735221862793,0.2661823034286499,0.44382965564727783,0.47453272342681885,0.08163760602474213,0.0,1.4901161193847656e-08,38.22300338745117,20.14501190185547,189.74020385742188
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,2,0.800000011920929,3,expert_cross,50,177,50,0.28134095668792725,0.2530369460582733,0.5343779027462006,0.16100232303142548,0.30461981892585754,0.0,0.0,37.67845153808594,20.389026641845703,189.7310333251953
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,2,0.800000011920929,7,expert_cross,50,177,50,0.2483581155538559,0.37252897024154663,0.6208870857954025,0.25052303075790405,0.12858989834785461,0.0,0.0,37.67845153808594,20.389026641845703,189.7310333251953
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,2,0.800000011920929,11,expert_cross,50,177,50,0.17669086158275604,0.26677384972572327,0.4434647113084793,0.47618281841278076,0.08035245537757874,0.0,1.4901161193847656e-08,37.67845153808594,20.389026641845703,189.7310333251953
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,3,0.699999988079071,3,expert_cross,50,177,50,0.2804286777973175,0.25416991114616394,0.5345985889434814,0.161042258143425,0.30435916781425476,0.0,0.0,37.209068298339844,20.648101806640625,189.73806762695312
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,3,0.699999988079071,7,expert_cross,50,177,50,0.24942940473556519,0.3700125813484192,0.6194419860839844,0.25189629197120667,0.12866172194480896,0.0,0.0,37.209068298339844,20.648101806640625,189.73806762695312
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,3,0.699999988079071,11,expert_cross,50,177,50,0.17665305733680725,0.26730650663375854,0.4439595639705658,0.47711071372032166,0.07892971485853195,0.0,7.450580596923828e-09,37.209068298339844,20.648101806640625,189.73806762695312
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,4,0.6000000238418579,3,expert_cross,50,177,50,0.27942121028900146,0.25515860319137573,0.5345798134803772,0.16160428524017334,0.30381593108177185,0.0,0.0,36.8095588684082,20.931640625,189.740966796875
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,4,0.6000000238418579,7,expert_cross,50,177,50,0.24994122982025146,0.36725935339927673,0.6172005832195282,0.2537554204463959,0.12904401123523712,0.0,0.0,36.8095588684082,20.931640625,189.740966796875
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,4,0.6000000238418579,11,expert_cross,50,177,50,0.1761496365070343,0.2679409086704254,0.4440905451774597,0.47822657227516174,0.07768291980028152,0.0,0.0,36.8095588684082,20.931640625,189.740966796875
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,5,0.5,3,expert_cross,50,177,50,0.27896973490715027,0.25663870573043823,0.5356084406375885,0.16140006482601166,0.30299150943756104,0.0,0.0,36.485267639160156,21.288644790649414,189.7443389892578
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,5,0.5,7,expert_cross,50,177,50,0.2518567144870758,0.3657488226890564,0.6176055371761322,0.25377729535102844,0.12861718237400055,0.0,0.0,36.485267639160156,21.288644790649414,189.7443389892578
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,5,0.5,11,expert_cross,50,177,50,0.17645566165447235,0.26918596029281616,0.4456416219472885,0.47860169410705566,0.07575668394565582,0.0,0.0,36.485267639160156,21.288644790649414,189.7443389892578
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,6,0.4000000059604645,3,expert_cross,50,177,50,0.278183251619339,0.2588003873825073,0.5369836390018463,0.16173619031906128,0.3012801706790924,0.0,0.0,36.22768783569336,21.876068115234375,189.73109436035156
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,6,0.4000000059604645,7,expert_cross,50,177,50,0.25454455614089966,0.36274343729019165,0.6172879934310913,0.2549707293510437,0.1277412623167038,0.0,1.4901161193847656e-08,36.22768783569336,21.876068115234375,189.73109436035156
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,6,0.4000000059604645,11,expert_cross,50,177,50,0.1803983747959137,0.2731305956840515,0.4535289704799652,0.4742339253425598,0.07223711907863617,0.0,0.0,36.22768783569336,21.876068115234375,189.73109436035156
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10043,25.5,95.5,7,0.30000001192092896,3,expert_cross,50,177,50,0.2784312665462494,0.26191970705986023,0.5403509736061096,0.1626807004213333,0.29696834087371826,0.0,0.0,36.01844787597656,22.548391342163086,189.72976684570312
