model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,0,1.0,3,expert_cross,50,177,50,0.2827078402042389,0.2603450417518616,0.5430528819561005,0.15724623203277588,0.29970088601112366,0.0,0.0,40.20967102050781,21.203779220581055,189.73550415039062
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,0,1.0,7,expert_cross,50,177,50,0.3274247944355011,0.25982174277305603,0.5872465372085571,0.2645885944366455,0.14816491305828094,0.0,0.0,40.20967102050781,21.203779220581055,189.73550415039062
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,0,1.0,11,expert_cross,50,177,50,0.2325390875339508,0.23073488473892212,0.4632739722728729,0.461162269115448,0.07556374371051788,0.0,1.4901161193847656e-08,40.20967102050781,21.203779220581055,189.73550415039062
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,1,0.8999999761581421,3,expert_cross,50,177,50,0.28204840421676636,0.26053306460380554,0.5425814688205719,0.1571768820285797,0.300241619348526,0.0,2.9802322387695312e-08,39.42920684814453,21.17494010925293,189.73919677734375
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,1,0.8999999761581421,7,expert_cross,50,177,50,0.3268282413482666,0.2581814229488373,0.5850096642971039,0.26656630635261536,0.14842401444911957,0.0,1.4901161193847656e-08,39.42920684814453,21.17494010925293,189.73919677734375
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,1,0.8999999761581421,11,expert_cross,50,177,50,0.23112742602825165,0.2274652123451233,0.45859263837337494,0.46539342403411865,0.07601387798786163,0.0,5.960464477539063e-08,39.42920684814453,21.17494010925293,189.73919677734375
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,2,0.800000011920929,3,expert_cross,50,177,50,0.281304270029068,0.2602139413356781,0.5415182113647461,0.15760840475559235,0.30087339878082275,0.0,0.0,38.76708221435547,21.351560592651367,189.72677612304688
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,2,0.800000011920929,7,expert_cross,50,177,50,0.3245713412761688,0.25733157992362976,0.5819029211997986,0.2689649760723114,0.1491321176290512,0.0,0.0,38.76708221435547,21.351560592651367,189.72677612304688
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,2,0.800000011920929,11,expert_cross,50,177,50,0.23057852685451508,0.22903354465961456,0.45961207151412964,0.46594953536987305,0.07443834096193314,0.0,5.21540641784668e-08,38.76708221435547,21.351560592651367,189.72677612304688
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,3,0.699999988079071,3,expert_cross,50,177,50,0.28082290291786194,0.26079586148262024,0.5416187644004822,0.15774931013584137,0.30063194036483765,0.0,0.0,38.18227767944336,21.565017700195312,189.7374267578125
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,3,0.699999988079071,7,expert_cross,50,177,50,0.32626286149024963,0.2546769678592682,0.5809398293495178,0.2706378698348999,0.14842234551906586,0.0,0.0,38.18227767944336,21.565017700195312,189.7374267578125
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10044,25.5,95.5,3,0.699999988079071,11,expert_cross,50,177,50,0.2311520129442215,0.23026029765605927,0.46141231060028076,0.4656711518764496,0.07291654497385025,0.0,0.0,38.18227767944336,21.565017700195312,189.7374267578125
