region_id,candidate_count,random_count,grid_uniform_count,ours_count
0,5,1,3,2
1,10,5,3,3
2,18,8,3,5
3,9,4,3,3
4,7,0,3,2
5,16,2,3,4
6,11,5,3,3
7,13,4,3,3
8,7,4,3,2
9,7,2,3,2
10,15,1,3,4
11,14,3,3,4
12,14,4,3,4
13,16,3,3,4
14,20,5,3,5
15,5,1,3,2
16,8,2,3,2
17,10,2,3,3
18,6,3,3,2
19,7,1,3,2
20,5,2,3,2
21,5,2,3,2
22,13,7,3,3
23,11,5,3,3
24,13,4,3,3
25,11,6,3,3
26,6,1,3,2
27,9,2,3,2
28,10,3,3,3
29,10,5,3,3
30,6,3,3,2
31,12,1,3,3
32,15,4,2,4
33,6,1,2,2
34,5,1,2,2
35,13,2,2,3
36,6,1,2,2
37,8,1,2,2
38,13,1,2,3
39,5,0,2,2
